Url,Name,Price,Rating,No of Reviews
/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC,Trajectory 100% Vegan Leather 16 Inch Laptop Office Messenger bag for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men and Women,"1,399",4.2,(311)
/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXJPBZJ,ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,499,3.9,"(3,774)"
/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",599,3.8,(679)
/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,296,3.8,"(2,291)"
/Wooum-Resisitance-Shoulder-Business-Messenger/dp/B0993Q72WD,Wooum Sling Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Water Resisitance,328.,4.0,(615)
/F-Gear-Enzo-Black-Blue-Waist-Bag/dp/B0862LXJYT,F Gear Enzo Sports Waist Bag (.Black Blue),200,4.2,"(1,111)"
/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),219,3.7,"(3,003)"
/Wooum-travel-office-business-Messenger/dp/B08RWR63JD,Wooum Water Resistance Side Bag/Travel Bag/Office Business Bag/Cross Body Bag/Messenger Bag/Sling Bag for Men and Women,298.,4.1,(130)
/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.1,(8)
/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZVTNCP,"Luv Lap Baby Breast Milk Storage Bags (Pack of 50), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent",569,4.4,(561)
/Fostelo-Style-Diva-Womens-Handbag/dp/B00Z0NMFKU,Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 2 Compartments Bag | Travel Purse Hobo Bag | 4 Pockets Shoulder Bag,629,3.9,"(7,100)"
/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,512,4.1,"(5,212)"
/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"2,239",3.9,(399)
/BROGBUS-Business-Messenger-Sling-10-05inch/dp/B09QLD9GJY,"BROGBUS pu Leather Men Bag Casual Business Messenger Bag for Cross body Bag Male Shoulder Bags PU Leather Sling Messenger Bag (Brown, L- 10.05inch H- 11.5inch W- 3inch)",939,4.1,(426)
/Genie-Ltrs-School-Backpack-SPRAY19SBBLU/dp/B07QFF2RZR,"Genie Spray School Bag for Girls, 19 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",999,4.1,"(1,232)"
/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ,Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,799,4.2,"(54,726)"
/Lavie-Broxa-Womens-Sling-Plum/dp/B08JDG1NKX,Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,999,4.2,"(5,676)"
/DZert-Fabric-Multicolour-Spiderman-Printed/dp/B07BNS3KNX,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),239,3.8,"(1,399)"
/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,440,3.9,"(2,527)"
/ADISA-Laptop-Backpack-Office-College/dp/B0BPTT2HZY,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Navy),599,4.0,(31)
/Shoulder-Backpacks-Crossbody-Backpack-Daypacks/dp/B07TT79C33,"AH Arctic Hunter Slim Sling Bags, Chest Shoulder Bag,Sling Backpacks Outdoor Crossbody Backpack Thin Daypacks for Travel with Earphone Port Men Women","1,329",4.4,(645)
/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9,F Gear String 11 Ltrs Nylon Black Gym Bag,189,4.0,(436)
/wolpin-Waterproof-Messenger-Crossbody-Shoulder/dp/B0B7SL3KCS,wolpin Waterproof Oxford cloth Messenger Bag Sling Bag for Men & Women Crossbody Small Shoulder Chest Anti Theft Travel Personal Pocket Bag Casual Backpack (Black),329,3.5,(11)
/Boldfit-Travel-Accessories-Purse-Mobile/dp/B0BJZQ3ZR9,Boldfit Waist Bag for Men Travel Bag for Men Chest Bag for Men Travel Fanny Pack for Men Waist Bag for Women Side Bag for Men Travel Accessories/Pouch/Hand Purse. Mobile Bag/Money Bag - Black,299,4.7,(378)
/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,709,4.2,(431)
/ADISA-SL5038-women-girls-sling/dp/B08Q4FHQLN,ADISA Women's Sling Bag,595,4.0,"(2,619)"
/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7,"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",246,4.0,(309)
/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8,"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",664,4.4,(912)
/Arctic-Earphone-Scratch-Resistant-Shoulder/dp/B0B6GBH3RG,"Arctic Hunter Sling Bag for Men,Side Bag Chest Bag for men with USB/Earphone Jack and Water Bottle Pocket,Tablet Bag Water/Scratch Resistant Shoulder Bag for Men with two Handle for Travel Daily Use,Black","1,709",4.1,(23)
/ADISA-Laptop-Backpack-Office-College/dp/B09TPVD964,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Teal),499,3.8,(566)
/Scratch-Resistant-Anti-Theft-Shoulder-Earphone/dp/B084RHGTCQ,"Arctic Hunter Sling Bag for Men,Chest Bag for Men Crossbody Bag for Men Stylish Shoulder Bag for Men Water&Scratch Resistant,Anti-Theft Mens Sling Bag Side Bag with USB Charging Port Earphone Port Fit Up to 10inch iPad.Black","1,804",4.5,(528)
/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK,Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),811,4.2,"(1,534)"
/EcoRight-Womens-Reusable-Ecofriendly-0202F01/dp/B06XRQRDCY,"Eco Right Large Tote Bag for Women with Zip, Stylish Cotton Handbags, Canvas Tote Bags for College",509,4.1,"(7,294)"
/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,512,4.1,"(5,212)"
/Storite-Canvas-Sling-Brown-Strap/dp/B099ZFN2QD,"Storite Canvas Sling Cross Body Travel Office Business Satchel Messenger One Side Shoulder Bag for Men & Women-(33cm x 6.5cm x 27cm, Brown with Brown Strap)",799,4.2,(831)
/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),512,4.1,"(5,212)"
/HEROZ-Backpack-Resistant-Computer-17-3-inch/dp/B083N3DCTM,HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue),"1,439",4.1,"(3,717)"
/Storite-Leather-Sling-Bag-Brown/dp/B08TR8RMNH,"Storite Stylish Small PU Leather Sling Cross Body Travel Office Messenger One Side Shoulder Bag for Men Women(Brown, 20.5x9x16.5cm)",799,4.1,(828)
/Business-Casual-Resistant-Laptop-Backpack/dp/B0862V2GKH,Mi Business Casual 21L Water Resistant Laptop Backpack (Blue),999,4.4,"(6,164)"
/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZKHSDR,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (GREY)",512,4.0,(435)
/Li-Ning-Raider-Double-Polyester-Badminton/dp/B09VDQRFRV,Li-Ning Raider Max Double Zipper Polyester Badminton Kit Bag (Blue),"1,516",4.4,(375)
/DZert-Polyester-Black-White-Laptop/dp/B07H193V57,DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black,299,3.8,"(2,291)"
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",565,4.3,"(9,794)"
/Step-Backpack-Small-Water-Repellant/dp/B088XG77KN,"Mi Step Out 12 L Mini Backpack (Small Size, Red, Water Repellant)",249,4.1,"(8,155)"
/House-Quirk-Maternity-Backpack-Elephant/dp/B07QV7SH4S,House of Quirk Baby Diaper Bag Maternity Backpack,"1,199",4.4,(966)
/Medela-Breastmilk-Storage-Bags-Pieces/dp/B075R5R1LR,"Medela Breastmilk Storage Bags,White, 25 Pieces",840,4.7,"(2,938)"
/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,664,4.1,"(3,846)"
/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK,ASTRID Women's Round Sling Bag with Pompoms (Brown),474,4.4,(346)
/House-Quirk-Electronics-Accessories-Organizer/dp/B07MMGBD1J,"House of Quirk Electronics Accessories Organizer Bag, Universal Carry Travel Gadget Bag for Cables, Plug and More, Perfect Size Fits for Pad Phone Charger Hard Disk - Dark Blue",499,4.3,"(6,753)"
